Date,Tornadoes,Fatalities,Year
195012,201,70,1950
195112,260,34,1951
195212,240,231,1952
195312,422,519,1953
195412,550,36,1954
195512,591,129,1955
195612,504,83,1956
195712,857,193,1957
195812,564,67,1958
195912,602,58,1959
196012,616,46,1960
196112,698,52,1961
196212,656,30,1962
196312,462,31,1963
196412,706,73,1964
196512,900,301,1965
196612,585,98,1966
196712,927,114,1967
196812,661,131,1968
196912,607,66,1969
197012,654,73,1970
197112,888,159,1971
197212,740,34,1972
197312,1104,89,1973
197412,951,366,1974
197512,918,60,1975
197612,837,44,1976
197712,854,43,1977
197812,789,53,1978
197912,859,84,1979
198012,866,28,1980
198112,782,24,1981
198212,1049,64,1982
198312,930,34,1983
198412,912,122,1984
198512,687,94,1985
198612,765,15,1986
198712,658,59,1987
198812,700,32,1988
198912,859,50,1989
199012,1140,53,1990
199112,1133,39,1991
199212,1302,39,1992
199312,1174,109,1993
199412,1085,48,1994
199512,1236,34,1995
199612,1172,26,1996
199712,1149,68,1997
199812,1428,130,1998
199912,1342,94,1999
200012,1073,41,2000
200112,1212,37,2001
200212,934,55,2002
200312,1385,54,2003
200412,1813,35,2004
200512,1262,38,2005
200612,1106,67,2006
200712,1100,81,2007
200812,1692,126,2008
200912,1146,21,2009
201012,1282,45,2010
201112,1691,553,2011
201212,938,70,2012
201312,906,55,2013
201412,886,47,2014
201512,1177,36,2015
201612,976,18,2016
201712,1429,35,2017
201812,1126,10,2018
201912,1517,42,2019
202012,1082,76,2020
202112,1314,103,2021
202212,1143,23,2022
202312,1321,83,2023